incident_id,date,date_end,date_precision,scope,region_code,asset_id,linked_asset_id,asset_name,asset_class,cause,attribution,attribution_confidence,status,confidence,capacity_affected_mw,capacity_affected_mtpa,capacity_affected_pct,first_seen,last_verified,conflicting_reports,notes,source_types,source_urls
cur-2022-12-20-urengoy,2022-12-20,,day,asset,RU-CU,urengoy-pomary-uzhhorod-chuvashia,,Urengoy-Pomary-Uzhhorod pipeline (Vurnarsky District),pipeline_gas,technical,none,not_applicable,repaired,confirmed,,,,2026-08-26,2026-08-26,false,"Explosion during scheduled repair work between Kalinino and Yambakhtino, Vurnarsky District. Three gas service workers killed, one injured. Gazprom stated supply continued via parallel pipelines; no sustained throughput loss claimed. No attribution to hostile action.",news_agency|encyclopaedia,https://en.wikipedia.org/wiki/2022_Urengoy%E2%80%93Pomary%E2%80%93Uzhhorod_pipeline_explosion|https://apnews.com/
cur-2024-07-16-rostov-npp,2024-07-16,,day,asset,RU-ROS,rostov-npp,wri-WRI1003791,Rostov Nuclear Power Plant,power_plant_nuclear,technical,none,not_applicable,repaired,confirmed,,,,2026-08-26,2026-08-26,false,"Reactor unit shut down automatically after a turbine generator safety-system fault, reported by Rosenergoatom as a false alarm. Contributed to rolling outages across Krasnodar Krai and Rostov Oblast during a heatwave; DonEnergo attributed load stress partly to 39C+ temperatures. Capacity offline not quantified in open reporting.",news_agency|news_outlet,https://www.themoscowtimes.com/2024/07/17/power-restored-at-russian-nuclear-plant-after-widespread-outages-a85737|https://www.rferl.org/a/russia-crimea-nuclear-blackouts/33039466.html
cur-2025-01-01-sudzha-transit,2025-01-01,,day,region,RU-KRS,sudzha-gms,,Sudzha gas metering station,pipeline_gas,sanctions,none,not_applicable,active,confirmed,,,,2026-08-26,2026-08-26,false,"Russia-Ukraine gas transit agreement of 30 December 2019 expired at 07:00 Kyiv time on 1 January 2025; transit via the Sudzha entry point ceased. Commercial and political termination rather than a sanction in the narrow sense - classified under the sanctions/supply-chain category because the taxonomy has no separate commercial-constraint class. Final pre-halt inflow recorded at 40.4 mcm on 31 December 2024.",news_outlet|encyclopaedia,https://meduza.io/en/feature/2024/08/09/ukraine-just-captured-a-key-piece-of-pipeline-infrastructure-in-russia-so-why-is-gas-still-flowing
cur-2025-02-23-kaleykino,2025-02-23,,day,asset,RU-TA,kaleykino-pumping-station,,Kaleykino oil pumping station,pipeline_oil,kinetic_strike,reported_ukrainian_strike,probable,unknown,probable,,,,2026-08-26,2026-08-26,false,"Reported drone attack on the Kaleykino oil pumping station, a Druzhba transport hub in Tatarstan, attributed in reporting to Ukraine's SBU. Throughput effect not quantified in open sources.",news_outlet,https://www.yahoo.com/news/articles/russias-transneft-cuts-oil-intake-221513944.html
cur-2025-08-unecha,2025-08,,month,asset,RU-BRY,unecha-pumping-station,,Unecha oil pumping station,pipeline_oil,kinetic_strike,reported_ukrainian_strike,probable,repaired,confirmed,,,,2026-08-26,2026-08-26,true,"Repeated drone strikes on the Unecha Druzhba pumping station in Bryansk Oblast during August 2025. Hungarian Foreign Minister Szijjarto confirmed Druzhba deliveries suspended. Day-level date not established across sources - recorded at month precision rather than inferred. Reports differ on the number of separate strikes in the month.",news_outlet|government_statement,https://militarnyi.com/en/news/drones-attack-unecha-oil-pumping-station-in-bryansk-region/|https://www.kyivpost.com/post/58741
cur-2024-10-07-feodosia,2024-10-07,,day,asset,UA-CR,feodosia-marine-oil-terminal,,Feodosia (Feodosiya) marine oil terminal,oil_terminal,kinetic_strike,reported_ukrainian_strike,confirmed,degraded,confirmed,,,,2026-08-27,2026-08-27,false,"Crimea (internationally Ukrainian; tracked as a context unit, excluded from the Russia+Belarus ESDI). Ukrainian strike on 7 October 2024 on the JSC Marine Oil Terminal at Feodosia, the largest fuel storage facility in occupied Crimea. Satellite imagery reviewed by independent analysts showed 12 of 34 tanks hit, 8 completely destroyed. Multiple independent outlets plus satellite confirmation.",news_agency|news_outlet|satellite,https://kyivindependent.com/ukrainian-drones-hit-largest-oil-terminal-in-russian-occupied-crimea/|https://www.rferl.org/a/crimea-drones-feodosia-belgorod/33148782.html
cur-2025-10-31-novobryanskaya,2025-10-31,,day,asset,RU-BRY,novobryanskaya-substation-750kv,,Novobryanskaya 750 kV substation,substation,kinetic_strike,reported_ukrainian_strike,probable,degraded,probable,500,,,2026-08-27,2026-08-27,false,"Electricity-sector event. Reported strike on the 750 kV Novobryanskaya substation in Bryansk Oblast; OSINT reporting cited ~500 MW of transmission throughput lost and a ~15% cut to electricity exports to Belarus. capacity_affected_mw here is transmission throughput, not generation removed, and is scored as an electric-power disruption with that caveat.",news_outlet|osint,https://militarnyi.com/en/news/15-strikes-in-15-days-russia-s-power-system-lost-up-to-4-of-generation/
cur-2025-11-20-zheleznogorsk,2025-11-20,,day,asset,RU-KRS,zheleznogorsk-substation-110kv,,Zheleznogorsk 110 kV substation,substation,kinetic_strike,reported_ukrainian_strike,probable,degraded,probable,,,,2026-08-27,2026-08-27,false,"Electricity-sector event. Reported drone strike on the 110 kV Zheleznogorsk substation, Kursk Oblast, on 20 November 2025; ~16,000-20,000 customers reported without power. Customer-count effect only; no defensible generation-MW figure, so it is tracked and counted but not capacity-scored.",news_outlet,https://militarnyi.com/en/news/strike-on-electrical-substations-in-the-kursk-region-leaves-part-of-the-area-without-power/
cur-2025-10-26-trubchevsk,2025-10-26,,month,asset,RU-BRY,trubchevsk-substation-110kv,,Trubchevsk 110 kV substation,substation,kinetic_strike,reported_ukrainian_strike,possible,degraded,possible,,,,2026-08-27,2026-08-27,true,"Electricity-sector event. Reported strike on the 110 kV Trubchevsk substation, Bryansk Oblast, ~October 2025; up to 15,000 residents reported without power, with hospital disruption and evacuations. Day-level date not firmly established across sources; recorded at month precision. Customer-count effect only, not capacity-scored.",news_outlet,https://militarnyi.com/en/news/15-strikes-in-15-days-russia-s-power-system-lost-up-to-4-of-generation/
tuapse-refinery-tuapse-oil-terminal:2025-01-28,2025-01-28,,day,asset,RU-KDA,tuapse-refinery-tuapse-oil-terminal,,Tuapse Refinery,refinery,kinetic_strike,reported_ukrainian_strike,confirmed,repaired,confirmed,,,,2026-08-27,2026-08-27,false,"Rosneft's Tuapse refinery struck in late January 2025, halting processing. Reuters (via industry sources) reported the primary crude unit CDU-12 repaired by late April and processing resumed around 6 May 2025 -- roughly three months. Recorded as a curated incident because the January 2025 strike is not enumerated at this date in the automated strike table; its observed reconstitution is carried in recovery.csv.",news_agency|news_outlet,https://kyivindependent.com/reuters-tuapse-refinery-hit-by-drone-resumes-work-after-3-months-of-repairs/
