canonical_pipeline_id,canonical_name,commodity,subtype,entity_level,parent_id,operator,owner,countries,start_area,end_area,note
UGSS,Unified Gas Supply System,gas,transmission_network,system,,Gazprom,Gazprom,RU,,,Russian national gas transmission system; parent of the domestic trunk corridors below
NORTHERN_LIGHTS,Northern Lights system,gas,multi_string_corridor,corridor,UGSS,Gazprom,Gazprom,RU|BY,Urengoy,Torzhok,Multi-string system; OSM models it as one relation containing its constituent strings
UKHTA_TORZHOK_1,Ukhta–Torzhok 1,gas,string,pipeline,NORTHERN_LIGHTS,Gazprom Transgaz Ukhta,Gazprom,RU,Sosnogorskaya CS,Novogryazovetskaya CS,Route terminates at Gryazovets despite the name
UKHTA_TORZHOK_2,Ukhta–Torzhok 2,gas,string,pipeline,NORTHERN_LIGHTS,Gazprom Transgaz Ukhta,Gazprom,RU,Sosnogorskaya CS,Novogryazovetskaya CS,Commissioned December 2018
UKHTA_TORZHOK_3,Ukhta–Torzhok 3,gas,string,pipeline,NORTHERN_LIGHTS,Gazprom Transgaz Ukhta,Gazprom,RU,Sosnogorskaya CS,Novogryazovetskaya CS,Third string; separated from string 1 after a substring auto-match error (see review RV-003)
BOVANENKOVO_UKHTA,Bovanenkovo–Ukhta corridor,gas,multi_string_corridor,corridor,UGSS,Gazprom,Gazprom,RU,Bovanenkovskoye field,Ukhta,Corridor of parallel strings BU-1/BU-2/BU-3
BOVANENKOVO_UKHTA_1,Bovanenkovo–Ukhta 1,gas,string,pipeline,BOVANENKOVO_UKHTA,Gazprom,Gazprom,RU,Bovanenkovskoye field,Sosnogorskaya CS,
BOVANENKOVO_UKHTA_2,Bovanenkovo–Ukhta 2,gas,string,pipeline,BOVANENKOVO_UKHTA,Gazprom,Gazprom,RU,Bovanenkovskoye field,Sosnogorskaya CS,
YAMAL_EUROPE,Yamal–Europe,gas,export_trunk,pipeline,,Gazprom/GAZ-SYSTEM/Gascade,Gazprom,RU|BY|PL|DE,Torzhok,Mallnow,"Length contested: 1660 km commonly cited vs Gazprom ""over 2000 km"" — different scopes"
SRTO_TORZHOK,SRTO–Torzhok,gas,export_trunk,pipeline,UGSS,Gazprom Transgaz Ukhta,Gazprom,RU,Northern Tyumen fields,Torzhok,Capacity varies by section (20.5–28.5 bcm/y); not a single number
BROTHERHOOD,Brotherhood corridor,gas,export_corridor,corridor,,Gazprom/GTSOU,,RU|UA|SK,Urengoy,Uzhhorod,Ukrainian transit corridor; several trunk lines share this route
URENGOY_POMARY_UZHHOROD,Urengoy–Pomary–Uzhhorod,gas,export_trunk,pipeline,BROTHERHOOD,Gazprom/GTSOU,,RU|UA,Urengoy field,Uzhhorod,Crosses RU-UA border at Sudzha GMS
PROGRESS,Progress,gas,export_trunk,pipeline,BROTHERHOOD,Gazprom/GTSOU,,RU|UA,Yamburg field,Uzhhorod,Ukrainian route co-located with Urengoy–Pomary–Uzhhorod
SOYUZ,Soyuz,gas,export_trunk,pipeline,,Gazprom/GTSOU,,RU|KZ|UA,Orenburg,Uzhhorod,Crosses RU-UA border at Sokhranovka
NORD_STREAM_1,Nord Stream 1,gas,subsea_export,pipeline,,Nord Stream AG,Nord Stream AG,RU|DE,Portovaya Bay,Greifswald,Two lines; three of four Nord Stream lines inoperable after Sept 2022
NORD_STREAM_2,Nord Stream 2,gas,subsea_export,pipeline,,Nord Stream 2 AG,,RU|DE,Slavyanskaya CS,Greifswald,Never entered service
GRYAZOVETS_VYBORG,Gryazovets–Vyborg,gas,feeder,pipeline,NORTHERN_LIGHTS,Gazprom,Gazprom,RU,Gryazovets,Portovaya CS,Onshore feed for Nord Stream 1
TURKSTREAM,TurkStream,gas,subsea_export,pipeline,,Gazprom/BOTAS,,RU|TR,Russkaya CS,Kiyikoy,Two strings; 31.5 bcm/y total
BLUE_STREAM,Blue Stream,gas,subsea_export,pipeline,,Gazprom/BOTAS,,RU|TR,Izobilnoye,Samsun,
POWER_OF_SIBERIA,Power of Siberia,gas,export_trunk,pipeline,,Gazprom,Gazprom,RU|CN,Chayanda field,Blagoveshchensk,61 bcm/y system capacity; 38 bcm/y contracted to China
SAKHALIN_KHABAROVSK_VLADIVOSTOK,Sakhalin–Khabarovsk–Vladivostok,gas,transmission,pipeline,,Gazprom,Gazprom,RU,Sakhalin,Vladivostok,
BUKHARA_URAL,Bukhara–Urals,gas,import_trunk,corridor,,Gazprom/Uztransgaz,,UZ|KZ|RU,Gazli,Chelyabinsk/Yekaterinburg,Two lines BU-I and BU-II
